0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:06:04 -0200] "GET /supermercado/clientes HTTP/1.1" 200 804
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:06:45 -0200] "POST /supermercado/clientes HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:34 -0200] "DELETE /supermercado/clientes/da39a3ee5e6b4b0d3255bfef95601890afd80709 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:39 -0200] "DELETE /supermercado/clientes/1 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:40 -0200] "DELETE /supermercado/clientes/1 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:43 -0200] "DELETE /supermercado/clientes/1 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:50 -0200] "DELETE /supermercado/clientes/1?idCliente=2 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:52 -0200] "DELETE /supermercado/clientes/2?idCliente=2 HTTP/1.1" 405 685
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:55 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:56 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:56 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:08:56 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:09:01 -0200] "DELETE /supermercado/clientes?id=2 HTTP/1.1" 406 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:09:06 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:09:55 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:10:06 -0200] "DELETE /supermercado/clientes?idCliente=2&idCliente=2 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [19/Oct/2021:11:10:11 -0200] "DELETE /supermercado/clientes?idCliente=2 HTTP/1.1" 404 -
